"id","limit_bal_usd","sex","education","marriage","age","pay_0","pay_2","pay_3","pay_4","pay_5","pay_6","bill_amt1_usd","bill_amt2_usd","bill_amt3_usd","bill_amt4_usd","bill_amt5_usd","bill_amt6_usd","pay_amt1_usd","pay_amt2_usd","pay_amt3_usd","pay_amt4_usd","pay_amt5_usd","pay_amt6_usd","default_flag","worst_payment_status"
14,"2240.000",1,2,2,30,1,2,2,0,0,2,"2105.664","2155.808","2102.432","2137.024","1156.384","1180.608","102.400","0.000","96.000","96.000","48.000","0.000",1,2
15,"8000.000",1,1,2,29,0,0,0,0,0,0,"2268.384","2145.920","2033.952","1910.272","1820.000","1776.384","96.000","96.000","96.000","96.000","96.000","96.000",0,0
16,"1600.000",2,3,3,23,1,2,0,0,0,0,"1619.648","933.536","899.712","920.672","944.992","966.752","0.000","48.000","35.200","38.400","41.600","35.200",0,2
17,"640.000",1,1,2,24,0,0,2,2,2,2,"492.032","576.320","557.696","586.816","572.960","611.328","102.400","0.000","48.000","0.000","52.800","0.000",1,2
18,"10240.000",1,1,1,49,0,0,0,-1,-1,-1,"8105.152","7889.152","6229.216","2242.368","187.392","6259.168","331.456","320.000","2430.080","640.000","6259.168","1600.000",0,0
19,"11520.000",2,1,1,49,1,-2,-2,-2,-2,-2,"0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000",0,1
20,"5760.000",2,1,2,29,1,-2,-2,-2,-2,-2,"0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000",0,1
21,"4160.000",2,3,2,39,0,0,0,0,0,-1,"1227.456","886.016","783.648","659.712","377.664","29.760","96.000","49.184","32.000","64.000","29.760","1080.448",0,0
22,"3840.000",2,2,1,39,-1,-1,-1,-1,-1,-1,"10.112","10.112","10.112","0.000","20.224","10.112","10.112","10.112","0.000","20.224","10.112","0.000",1,-1
23,"2240.000",2,2,2,26,2,0,0,2,2,2,"1314.784","1358.240","1440.640","1408.192","1500.960","1472.384","64.224","114.624","0.000","115.232","0.000","58.240",1,2
24,"14400.000",2,1,1,40,-2,-2,-2,-2,-2,-2,"176.384","621.440","47.136","17.920","0.000","0.000","621.696","47.136","17.920","0.000","0.000","36.096",1,-2
25,"2880.000",1,1,2,23,0,0,0,-1,0,0,"151.808","226.240","0.000","172.736","203.520","265.344","184.224","0.000","172.736","38.400","65.440","64.000",0,0
26,"1600.000",1,3,2,23,0,0,0,0,0,0,"1523.840","1337.920","1152.736","926.944","954.528","961.472","63.136","45.632","32.032","45.824","33.984","31.904",0,0
27,"1920.000",1,1,2,27,1,-2,-1,-1,-1,-1,"-3.488","-13.600","8.288","-1.824","4.064","-6.048","0.000","32.000","0.000","16.000","0.000","32.000",1,1
28,"1600.000",2,3,2,30,0,0,0,0,0,0,"721.312","516.416","549.216","572.096","605.792","627.744","41.600","41.600","32.000","48.000","32.000","32.384",0,0
29,"1600.000",2,3,1,47,-1,-1,-1,-1,-1,-1,"20.800","109.280","109.312","65.280","973.760","8.224","109.280","109.472","65.408","973.760","8.224","0.000",0,-1
30,"1600.000",1,1,2,26,0,0,0,0,0,0,"490.528","530.400","559.872","573.024","588.000","364.800","48.000","48.000","32.000","32.000","51.200","0.000",0,0
31,"7360.000",2,1,2,27,-1,-1,-1,-1,-1,-1,"532.672","552.480","424.512","490.848","457.824","1181.536","552.640","424.992","490.848","457.824","1193.344","0.000",0,-1
32,"1600.000",1,2,2,33,2,0,0,0,0,0,"976.576","947.776","707.264","727.488","742.944","757.760","54.976","48.000","32.000","32.000","32.000","22.912",1,2
33,"3200.000",1,1,2,32,0,0,0,0,0,0,"2977.152","2690.272","2652.160","2590.656","2518.496","2418.848","96.736","112.352","105.664","102.528","102.400","80.128",0,0
34,"16000.000",2,2,1,54,-2,-2,-2,-2,-2,-2,"349.728","132.864","727.104","240.672","2286.048","287.392","132.864","730.464","240.672","2286.048","31.392","1650.624",0,-2
35,"16000.000",1,1,1,58,-2,-2,-2,-2,-2,-2,"438.688","160.192","996.160","101.760","0.000","169.376","160.192","997.696","101.760","0.000","169.376","24.576",0,-2
36,"5120.000",1,1,2,30,-1,-1,-2,-2,-2,-1,"968.480","-4.192","-16.864","-29.536","-47.616","-60.288","4.192","12.672","12.672","18.080","25.344","0.000",0,-1
37,"8960.000",1,2,1,40,0,0,0,0,0,0,"5968.096","5802.496","5773.504","5453.120","5564.832","5677.216","256.832","257.920","201.600","204.800","204.800","215.584",0,0
38,"1920.000",2,2,2,22,0,0,0,0,0,-1,"481.728","313.792","354.176","192.832","-906.720","597.120","48.000","48.576","65.376","0.000","1525.472","19.744",0,0
39,"1600.000",1,1,2,25,1,-1,-1,-2,-2,-2,"0.000","24.960","0.000","0.000","0.000","0.000","24.960","0.000","0.000","0.000","0.000","0.000",1,1
40,"8960.000",1,1,2,31,-1,-1,2,-1,0,-1,"15.936","290.400","148.512","319.232","575.232","303.264","290.400","0.000","319.232","256.000","304.800","24.992",0,2
41,"11520.000",1,1,2,33,0,0,0,0,0,0,"6997.376","7081.472","6620.640","20118.368","6271.008","5735.168","320.000","224.000","192.000","6042.880","896.000","128.000",0,0
42,"2240.000",2,1,2,25,0,0,0,0,0,0,"2160.672","2143.968","2046.368","2038.368","2070.976","2111.040","96.000","144.000","129.344","80.000","89.600","80.000",0,0
43,"320.000",1,2,2,22,0,0,0,0,0,0,"60.064","101.888","192.096","114.432","117.440","142.432","48.000","93.664","32.000","9.600","32.000","16.000",0,0
44,"4480.000",2,2,1,37,0,0,0,0,0,0,"1904.128","1969.408","2013.600","2056.960","2146.528","2233.664","96.000","96.000","96.000","128.000","128.000","96.000",0,0
45,"1280.000",2,1,2,30,0,0,0,2,0,0,"605.664","681.440","829.472","806.688","852.352","934.304","96.000","160.000","0.000","64.000","96.000","0.000",0,2
46,"6720.000",1,1,2,29,-2,-2,-2,-2,-2,-2,"0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000",1,-2
47,"640.000",2,1,2,22,0,0,2,-1,0,0,"448.896","527.488","505.600","522.912","533.600","0.000","96.000","0.000","535.712","10.688","0.000","0.000",1,2
48,"4800.000",2,5,2,46,0,0,-1,0,0,-2,"142.816","97.088","37.440","37.440","0.000","0.000","32.416","37.440","0.000","0.000","0.000","0.000",1,0
49,"12160.000",1,2,2,32,-1,-1,-1,-1,-1,-1,"716.832","689.280","484.288","1024.576","379.168","379.936","689.280","484.416","789.664","379.232","380.000","264.032",0,-1
50,"640.000",1,1,2,24,0,0,0,0,0,0,"558.304","591.328","623.232","635.680","655.360","642.016","42.176","42.080","22.528","29.696","29.184","34.208",0,0
51,"2240.000",1,3,2,42,1,2,2,2,2,0,"1185.344","1157.472","1227.360","1261.536","1237.088","1259.584","0.000","99.200","64.000","0.000","48.000","48.000",1,2
52,"3200.000",2,3,3,43,0,0,0,0,0,0,"1969.888","1637.216","1402.368","1267.808","1144.384","1064.256","64.000","51.392","48.000","64.000","48.000","32.000",0,0
53,"9920.000",2,2,1,49,-2,-2,-2,-2,-2,-2,"430.880","251.744","243.200","357.920","113.408","14.848","252.000","243.200","357.920","113.408","14.848","0.000",0,-2
54,"5760.000",2,1,2,25,1,2,0,0,0,0,"1324.864","1335.744","1368.256","1392.320","1421.440","1450.208","41.600","64.320","56.384","56.384","57.280","51.904",0,2
55,"4800.000",2,1,2,29,2,0,0,0,0,0,"1479.168","1119.776","1005.888","848.576","673.344","529.280","51.200","54.976","33.568","48.000","64.000","160.000",0,2
56,"16000.000",2,1,1,45,-2,-2,-2,-2,-2,-2,"60.960","116.480","5.184","0.000","4.832","80.960","116.480","5.184","0.000","4.832","80.960","0.000",0,-2
57,"5760.000",2,3,1,34,0,0,0,-1,-1,-1,"524.352","505.376","270.112","228.544","-21.728","266.272","272.000","48.000","240.000","21.728","288.000","64.000",0,0
58,"5760.000",2,2,1,34,0,0,0,0,0,0,"5628.352","5550.080","5513.856","5395.456","4230.464","4157.376","258.656","233.472","168.096","154.048","154.112","121.600",0,0
59,"6400.000",2,1,2,34,-1,3,2,2,2,2,"50.784","35.136","25.024","37.312","22.400","45.248","0.000","0.000","22.400","0.000","38.400","0.000",0,3
60,"12800.000",2,2,1,29,0,0,0,0,0,0,"12804.288","12763.424","12934.560","11526.368","11412.992","11650.848","544.000","480.928","960.000","384.000","384.000","736.000",0,0
61,"16000.000",2,3,1,28,0,0,0,0,0,0,"731.136","756.416","604.096","477.984","442.464","498.272","48.512","41.600","32.000","32.000","64.000","64.000",1,0
62,"2240.000",1,2,1,39,0,0,0,0,0,-1,"2265.600","2305.920","2238.016","528.576","451.072","26.560","128.800","67.040","32.000","64.000","96.000","0.000",0,0
63,"1600.000",1,1,2,29,2,2,2,2,2,2,"799.584","777.600","850.912","827.680","885.344","904.448","0.000","86.400","0.000","71.200","38.400","0.000",1,2
64,"1600.000",2,2,1,46,0,0,0,-2,-2,-2,"918.976","933.312","0.000","0.000","0.000","0.000","32.000","0.000","0.000","0.000","0.000","0.000",1,0
65,"4160.000",2,2,1,51,-1,-1,-2,-2,-1,-1,"3.168","0.000","0.000","0.000","75.296","0.000","0.000","0.000","0.000","75.296","0.000","0.000",0,-1
66,"6400.000",1,1,1,57,-2,-2,-2,-1,2,2,"4880.608","4760.032","4610.432","261.568","262.336","253.376","0.000","0.000","263.104","9.600","0.000","32.000",1,2
67,"320.000",1,2,1,56,2,2,2,0,0,0,"67.104","134.176","127.296","129.984","134.272","138.432","73.600","0.000","4.800","6.400","6.400","5.120",1,2
68,"6720.000",2,1,2,30,2,-1,-1,-1,-1,-1,"9.600","9.600","37.088","72.960","9.600","136.000","9.600","37.088","72.960","9.600","136.000","29.088",0,2
69,"4160.000",2,3,2,29,1,-2,-2,-1,2,-1,"-6.080","-315.200","-315.200","329.952","325.152","234.208","0.000","0.000","645.152","0.000","234.208","444.768",0,2
70,"640.000",1,5,2,22,2,0,0,0,0,0,"594.080","550.528","553.120","578.720","358.560","191.424","0.000","38.400","32.000","16.000","32.000","0.000",0,2
71,"2560.000",1,1,2,31,-1,-1,-1,-1,-1,-1,"24.960","0.000","12.480","12.480","12.480","12.480","0.000","12.480","12.480","12.480","12.480","12.480",0,-1
72,"10240.000",1,2,2,29,2,2,2,2,2,2,"1864.544","1895.872","1925.888","1875.904","1993.824","2032.832","80.000","80.000","0.000","153.600","76.800","51.200",1,2
73,"6400.000",2,2,1,32,-1,-1,-1,-1,2,-1,"290.432","185.184","-21.888","167.904","123.136","100.832","186.176","0.480","291.264","0.544","101.280","44.640",0,2
74,"9280.000",2,1,2,37,1,-2,-1,-1,-1,-1,"0.000","0.000","100.960","0.000","75.488","0.000","0.000","100.960","0.000","75.488","0.000","0.000",0,1
75,"10880.000",1,1,2,32,-1,-1,-1,-1,-1,-1,"97.536","177.600","746.784","137.312","2564.896","826.240","182.816","750.496","138.048","2577.664","830.368","64.512",0,-1
76,"640.000",1,2,2,24,0,0,2,0,0,0,"467.808","550.912","532.544","543.232","554.624","593.376","91.200","0.000","19.520","20.160","48.000","0.000",0,2
77,"1600.000",1,3,2,25,-1,0,0,0,0,0,"1370.816","1191.200","1154.784","308.352","306.880","320.960","56.288","56.928","10.240","16.000","32.000","32.000",0,0
78,"9600.000",2,1,1,45,-1,-1,-1,-1,-1,-1,"9.312","9.312","9.312","9.312","9.312","9.312","9.312","9.312","9.312","9.312","9.312","9.312",0,-1
79,"960.000",2,2,2,22,0,0,0,0,0,0,"908.384","947.584","970.432","896.128","846.272","205.152","53.952","44.800","17.920","96.000","56.480","0.000",1,0
80,"7680.000",2,2,2,44,1,-2,-2,-2,-2,-2,"0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000",1,1
81,"15040.000",2,3,3,33,0,0,0,0,0,0,"5288.128","5049.088","5206.464","2237.536","936.672","956.448","204.800","242.112","96.000","30.720","32.000","96.000",0,0
82,"11520.000",2,1,2,26,0,0,0,0,0,-1,"749.152","889.472","972.800","1059.200","5760.000","6.272","153.472","108.800","99.200","4700.800","6.272","94.816",0,0
83,"1920.000",1,3,2,30,0,0,0,0,0,0,"842.368","879.072","899.456","703.776","636.768","632.672","50.432","38.816","20.736","24.576","36.480","0.000",1,0
84,"12800.000",2,2,1,44,0,0,2,0,0,0,"4211.040","4449.920","4058.208","3341.760","3359.680","3009.856","342.400","0.096","97.600","96.000","102.400","89.600",0,2
85,"1600.000",2,3,2,49,0,0,0,0,0,0,"1565.088","1531.616","687.648","653.248","618.944","623.424","53.632","41.664","22.400","22.368","27.168","26.432",0,0
86,"5120.000",1,2,2,33,0,0,0,0,0,0,"4160.896","3449.856","2301.888","3789.376","3789.024","3853.376","140.800","113.504","2560.000","144.000","153.600","144.000",0,0
87,"11520.000",2,1,1,45,-1,-1,2,0,-1,-1,"12.480","37.440","24.960","12.480","12.480","12.480","37.440","0.000","0.000","12.480","12.480","12.480",1,2
88,"5120.000",2,2,2,32,0,0,0,0,0,-1,"122.432","152.032","211.328","275.328","226.304","24.512","36.704","64.000","64.000","0.000","24.512","73.696",0,0
89,"4160.000",2,1,1,35,0,0,0,-1,-1,-1,"2602.016","3771.712","567.680","42.560","227.040","38.080","1280.000","160.000","42.560","227.040","38.080","66.880",0,0
90,"640.000",1,3,2,44,2,2,0,0,0,2,"274.656","265.696","308.832","335.616","394.048","383.040","0.000","52.832","32.000","64.000","0.000","48.000",0,2
91,"6400.000",1,1,1,53,2,2,2,2,2,2,"4421.760","4504.768","4558.720","4611.136","4707.968","4784.992","201.600","176.000","176.000","176.000","160.000","160.000",1,2
92,"8960.000",2,1,2,39,-1,-1,-1,0,0,-2,"240.768","0.000","126.976","123.776","0.000","0.000","0.000","126.976","0.000","0.000","0.000","0.000",0,0
93,"3200.000",2,1,2,27,-2,-2,-2,-2,-2,-2,"-64.000","177.760","0.000","0.000","0.000","0.000","241.760","0.000","0.000","0.000","0.000","0.000",0,-2
94,"5120.000",2,2,1,37,-1,-1,-1,-1,-1,-2,"28.160","51.264","26.880","26.880","0.000","0.000","51.264","26.880","26.880","0.000","0.000","247.552",0,-1
95,"1920.000",2,2,2,23,0,0,0,0,0,0,"1460.736","1499.200","1510.848","627.040","614.688","618.336","61.984","41.632","21.824","22.080","26.112","26.720",0,0
96,"2880.000",1,2,2,35,0,0,0,0,0,0,"2679.200","2751.872","2804.896","1138.080","990.144","986.720","115.872","115.104","37.728","35.584","35.328","36.576",0,0
97,"11520.000",1,1,1,43,-1,-1,-1,-1,-1,0,"126.944","266.304","108.608","206.432","843.840","318.592","266.848","108.608","412.864","864.000","0.000","2207.296",0,0
98,"4800.000",1,1,2,27,0,0,0,0,0,0,"2752.288","2755.456","2848.192","2872.800","2807.200","1305.216","128.992","320.192","104.512","129.280","54.336","25.600",0,0
99,"1600.000",2,3,1,22,0,0,0,0,0,0,"599.104","581.120","543.904","420.800","283.712","252.768","45.152","38.208","12.128","8.992","10.272","6.304",0,0
100,"640.000",1,2,1,38,0,0,0,0,0,-1,"575.136","619.744","625.888","583.680","573.696","4.800","54.368","46.720","20.032","56.000","4.800","0.000",1,0
101,"4480.000",1,1,2,32,-2,-2,-2,-2,-2,-2,"21.504","326.784","27.200","13.280","3.200","45.760","326.784","27.200","13.280","3.200","45.760","0.000",0,-2
102,"12160.000",2,1,2,30,-2,-2,-1,0,0,0,"-2.592","-9.696","1039.200","1052.512","1074.048","1089.792","7.136","1061.696","37.472","38.304","40.000","160.000",0,0
103,"15360.000",1,1,1,63,0,0,0,2,2,0,"13506.208","13802.944","15341.824","15586.112","15076.640","15038.752","514.496","1782.176","544.000","0.000","576.000","774.400",0,2
104,"1600.000",2,3,2,22,0,0,0,0,0,0,"1430.336","1352.128","1227.104","1039.872","751.264","771.008","56.544","43.584","32.064","26.880","31.840","28.928",1,0
105,"1920.000",2,2,2,26,2,2,2,2,2,0,"1813.920","1766.656","1893.600","1926.976","1774.304","1769.760","0.000","160.000","80.352","0.192","96.000","96.000",0,2
106,"2240.000",2,2,2,24,-1,-1,-2,-2,-2,-1,"178.560","0.000","0.000","0.000","0.000","848.928","0.000","0.000","0.000","0.000","848.928","64.000",0,-1
107,"2560.000",2,2,1,36,-1,-1,-1,-1,-1,-1,"195.456","91.552","104.864","106.208","36.800","36.800","91.552","104.928","106.208","36.800","36.800","33.120",0,-1
108,"11200.000",1,1,2,52,-1,-1,-1,-1,-1,-1,"22.816","72.704","23.104","27.744","36.800","168.416","72.704","23.104","27.744","36.800","168.416","160.352",0,-1
109,"4160.000",1,2,2,38,0,0,0,-1,-1,-1,"5486.016","5708.224","1278.080","3855.456","1412.064","4050.176","349.056","0.000","4277.024","146.112","4282.912","153.472",0,0
110,"11520.000",1,2,1,35,1,-2,-2,-2,-2,-2,"-3.296","-3.296","-3.296","-3.296","-3.296","-3.296","0.000","0.000","0.000","0.000","0.000","0.000",0,1
111,"10560.000",2,1,1,31,0,0,2,0,0,0,"3388.128","3469.792","3379.008","3388.672","3407.712","3433.248","296.320","0.000","114.976","131.200","505.408","0.000",0,2
112,"1600.000",1,3,1,47,0,0,2,0,0,0,"423.808","471.104","485.792","509.696","533.472","556.576","64.000","32.000","32.000","32.000","32.000","32.000",0,2
113,"8960.000",1,2,1,41,2,2,2,2,2,3,"4341.536","4433.024","4314.016","4620.832","4869.568","4781.280","208.000","0.000","456.128","475.200","0.000","160.000",0,3
114,"3200.000",2,1,2,24,0,0,0,0,0,0,"1668.096","1686.144","1743.264","1794.432","1923.200","1910.816","64.000","85.664","98.432","162.560","96.000","65.056",0,0
115,"1600.000",1,2,2,41,0,0,0,0,0,0,"608.480","617.408","648.288","648.768","649.952","638.624","42.880","41.760","22.400","22.976","23.168","21.888",0,0
116,"960.000",1,1,2,24,-1,2,0,0,3,2,"582.368","563.776","596.192","682.208","662.144","678.432","0.000","41.984","96.000","0.000","32.000","32.000",1,3
117,"7680.000",1,1,2,28,-1,-1,-1,-1,-1,-1,"10.432","10.432","10.432","181.632","15.232","10.432","10.432","10.432","181.632","15.232","10.432","16.832",0,-1
118,"2560.000",1,2,2,26,2,0,0,0,0,0,"448.928","495.776","532.160","545.760","564.128","581.952","64.000","54.400","32.000","32.000","32.000","32.000",1,2
119,"12800.000",1,2,1,34,-1,-1,-1,-1,-1,-1,"629.120","309.312","379.744","250.848","474.784","254.688","309.664","379.744","250.848","474.784","254.688","182.784",0,-1
120,"7680.000",2,2,2,38,0,0,0,0,-1,-1,"1608.128","1646.240","1696.480","1679.328","41.824","38.496","64.000","96.000","96.000","41.824","38.496","18.016",0,0
121,"1600.000",1,3,2,37,2,2,2,3,2,2,"1472.128","1471.232","1566.496","1563.232","1578.176","1636.576","32.000","129.120","32.000","44.800","89.600","0.000",1,3
122,"14400.000",1,1,1,40,1,-2,-2,-2,-2,-2,"0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000",1,1
123,"3520.000",2,1,1,48,1,-2,-2,-2,-2,-2,"0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000",0,1
124,"9920.000",2,2,1,35,2,0,0,0,0,0,"9759.712","9959.776","9802.048","8275.520","7887.712","6364.448","416.608","356.096","269.024","275.168","218.656","191.584",1,2
125,"640.000",1,1,2,27,0,0,0,0,0,0,"611.680","606.784","617.536","620.096","630.944","500.160","44.928","36.160","19.200","27.552","10.016","0.000",0,0
126,"640.000",1,2,2,23,1,-2,-2,-2,-2,-2,"0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000",0,1
127,"6400.000",1,3,2,52,0,0,0,0,0,0,"3524.832","3184.960","3166.432","3229.248","3300.672","3359.776","114.176","114.720","115.264","123.136","117.408","121.088",0,0
128,"5760.000",1,1,1,36,0,0,0,0,0,0,"5239.552","3725.504","3176.896","3064.512","3128.096","3069.664","148.960","86.080","66.144","68.544","70.944","32.000",1,0
129,"1600.000",1,2,1,51,0,0,0,0,0,0,"107.104","124.768","144.096","171.104","204.000","226.464","32.000","34.112","41.600","48.000","38.400","4.288",1,0
130,"1920.000",1,3,1,55,3,2,2,0,0,0,"1936.672","1966.400","1831.808","923.296","944.320","849.504","80.128","0.224","38.400","38.400","35.200","48.000",0,3
131,"960.000",2,1,2,23,1,-2,-2,-2,-1,-1,"128.000","180.640","112.256","-0.864","439.808","188.992","180.640","112.256","0.864","440.672","189.152","96.768",0,1
132,"7680.000",1,1,2,41,1,-1,-1,0,0,-1,"3.040","83.904","105.632","101.248","11.520","55.584","83.904","105.632","0.000","11.520","55.584","29.568",0,1
133,"13440.000",1,2,1,34,0,0,0,0,0,0,"8110.528","7927.776","7329.568","7070.432","6739.392","6019.456","311.808","305.696","243.296","250.560","232.096","362.432",0,0
134,"10560.000",1,3,1,46,0,0,0,0,0,0,"7276.448","7319.008","7348.608","7282.784","7288.800","7302.496","262.720","259.040","256.800","261.600","268.512","262.400",0,0
135,"960.000",2,2,2,22,0,0,0,0,0,0,"910.464","836.640","854.784","811.200","563.296","-24.960","64.000","44.800","0.000","16.000","0.000","49.920",0,0
136,"7680.000",1,2,1,34,0,0,0,2,2,2,"341.568","385.120","437.792","424.608","453.056","444.512","48.000","57.600","0.000","32.000","0.000","10.464",0,2
137,"4800.000",1,1,2,27,0,0,0,0,0,0,"558.208","618.944","704.000","787.648","870.400","967.328","80.000","96.000","96.000","96.000","112.000","160.000",0,0
138,"6720.000",2,2,1,33,0,0,0,0,0,0,"229.312","255.904","281.344","294.048","140.928","182.656","48.000","48.000","32.000","16.000","64.000","17.472",0,0
139,"1600.000",2,3,1,51,-1,-1,-1,-1,-2,-2,"24.064","9.600","188.160","0.000","0.000","0.000","9.600","188.160","0.000","0.000","0.000","0.000",1,-1
140,"1600.000",1,1,2,24,0,0,0,0,0,0,"1625.632","1604.576","1586.752","621.760","620.000","607.840","75.520","54.400","32.000","28.800","27.840","68.160",0,0
141,"7680.000",1,1,2,47,1,-2,-2,-2,-2,-2,"0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000",1,1
142,"5760.000",1,2,2,28,-1,-1,-1,-1,-1,-1,"58.624","0.000","26.624","10.624","13.312","13.312","0.000","13.312","10.624","16.000","112.000","26.624",0,-1
143,"1600.000",1,2,2,23,1,2,2,2,0,0,"324.192","346.656","658.656","639.872","636.128","578.080","32.000","320.000","12.800","22.400","25.600","19.200",0,2
144,"5440.000",1,2,2,29,-2,-2,-2,-2,-2,-2,"389.088","320.000","320.000","320.000","319.456","507.072","320.000","320.000","320.000","319.456","507.616","320.000",0,-2
145,"640.000",1,1,2,29,-1,-1,-1,-1,0,-1,"38.368","498.752","11.008","74.880","214.464","10.848","498.752","11.008","74.880","150.464","10.848","10.560",0,0
146,"1600.000",1,1,2,28,0,0,0,0,0,3,"159.968","189.216","234.080","294.240","339.968","324.416","32.000","48.000","64.000","50.656","35.200","0.000",0,3
147,"5440.000",2,2,2,27,0,0,0,0,0,0,"616.608","650.016","667.264","561.920","573.376","291.200","53.152","38.400","11.232","11.456","5.824","0.000",1,0
148,"6400.000",1,1,2,34,1,2,0,0,0,0,"6311.552","5638.144","2978.208","4341.376","4231.456","1916.000","256.000","160.000","1776.000","160.000","160.000","272.000",0,2
149,"2560.000",2,2,1,23,1,2,3,2,0,0,"293.376","336.704","326.560","316.736","323.936","385.088","52.800","0.000","0.000","12.128","66.912","0.032",0,3
150,"8320.000",2,1,1,60,1,-2,-1,-1,-1,-1,"-35.200","-35.200","684.800","0.000","31.008","27.808","0.000","720.000","0.000","31.008","32.000","0.000",0,1
151,"4480.000",1,2,1,32,0,0,0,0,2,0,"2772.064","2500.544","2186.752","2068.736","1866.208","1768.032","110.560","99.520","160.000","0.000","67.200","83.264",0,2
152,"2560.000",1,1,2,25,0,0,0,0,0,0,"1358.208","1783.808","1391.232","1314.784","1342.432","1018.432","960.000","96.000","192.000","256.000","64.000","448.000",0,0
153,"11200.000",1,1,2,41,1,-1,-1,-1,-1,-2,"6.656","92.992","32.000","20.160","0.000","0.000","92.992","32.000","20.160","0.000","0.000","0.000",0,1
154,"8960.000",2,2,1,56,0,0,0,0,0,0,"6680.800","5835.200","4232.224","3257.056","5668.640","5417.952","257.344","214.400","164.384","3200.000","224.000","202.272",0,0
155,"960.000",2,3,2,26,0,0,0,0,0,0,"288.448","332.992","365.664","381.920","418.688","454.592","54.400","48.000","32.000","48.000","48.000","48.000",0,0
156,"4480.000",1,1,1,34,0,0,0,0,0,0,"766.208","897.568","1026.336","1380.128","1506.752","1558.368","160.000","160.000","380.320","160.000","96.000","176.128",0,0
157,"6400.000",2,1,2,37,0,0,0,0,0,0,"3373.440","3291.840","2868.576","2910.016","2960.160","3008.992","128.000","104.000","104.000","112.000","113.920","160.000",0,0
158,"6400.000",2,3,2,30,0,0,0,0,0,0,"6272.992","6276.576","6064.768","5349.216","4703.200","3914.368","233.600","227.456","245.760","198.400","160.000","144.000",0,0
159,"6720.000",1,3,1,45,2,3,4,4,5,6,"3705.120","3932.928","4155.104","4392.864","4657.056","4931.360","335.296","335.296","354.496","354.496","373.696","335.296",1,6
